,DivSampCA,,,SamplingCA,,,Campactor,,,LS-Sampling-Plus,
Instances,min,avg,time(s),min,avg,time(s),min,avg,time(s),coverage,time(s)
mb93093,79,81.4,13.53,106,107.7,18.75,46,46.3,252.31,99.9955,22.04
mbx,79,82.6,14.68,106,109.9,20.68,47,50.3,216.54,99.9979,24.72
mcb2100,74,76.3,12.8,97,102.3,18.39,42,43.7,219.39,99.9972,21.24
moab,82,84.1,14.97,112,114.8,21.15,47,50.9,257.49,99.9937,23.14
mpc50,75,77.1,12,99,102.1,16.77,43,44.6,195.6,99.9965,19.53
nano,84,87.7,15.18,109,115.5,20.49,50,52.8,246.99,99.9943,23.67
npwr,78,80.4,14.06,106,108,20.13,46,47.9,238.93,99.9959,22.31
ocelot,79,81.7,14.09,103,109,20.21,47,47.4,211.52,99.9957,22.73
olpce2294,80,83.4,14.63,107,111.7,20.9,46,49.5,297.4,99.9951,22.95
olpch2294,76,77.6,13.44,100,104.2,18.6,45,45.4,239.74,99.9957,21.26
olpcl2294,79,83,14.75,107,110.7,20.63,45,47.7,262.98,99.9953,23.69
p2106,75,77.4,13.29,101,104.5,19.01,44,45.8,216.4,99.9956,21.03
pati,74,76.1,13.25,100,102.4,17.81,42,44.8,219.82,99.9957,20.76
pc_i82544,80,84,14.39,108,112,19.39,47,49.2,241.22,99.9959,22.86
pc_i82559,81,84,14.63,109,111.5,19.38,48,49.2,263.65,99.9959,22.81
pc_rltk8139,84,87.8,15.6,114,117.7,20.47,52,54.2,291.87,99.9961,24.82
pc_usb_d12,78,79,14.37,102,106.9,19.68,45,45.7,204.1,99.9941,21.8
pc_vmWare,81,83.5,14.73,108,110.3,19.12,48,49.7,242.99,99.9953,22.77
phycore,75,77.9,14.17,101,103.8,18.58,43,45.5,236.85,99.9962,26.43
phycore229x,82,84.3,17.01,108,110.8,22.57,46,49.2,293.41,99.9956,21.56
picasso,78,81.1,13.87,105,107.9,18.64,47,48.8,265.78,99.9962,22.15
pid,74,77.1,12.75,99,102.8,17.6,42,44,201.81,99.9957,20.53
prpmc1100,72,76.2,12.66,97,101,17.21,43,45.1,227.6,99.9929,18.93
psim,74,75.2,11.82,97,100.4,16.26,43,45,196.06,99.9961,18.77
rattler,84,87,16.71,109,114.4,22.86,51,52.7,295.28,99.995,25.27
ref4955,75,76.8,12.62,98,102.1,17.72,43,45.5,197.9,99.9981,20.58
refidt334,81,85.4,15.14,108,113.6,20.17,51,53.4,249.81,99.9954,24.16
sa1100mm,75,76.8,12.79,96,100.7,17.09,43,45.2,196.98,99.9953,19.4
sam7ex256,80,83.1,16.52,107,110.1,21.97,47,48.2,299.15,99.9975,26.56
se7751,86,88.9,16.5,116,118.3,22.08,50,53.1,259.71,99.9958,25.82
sh4_202_md,84,87.2,15.43,112,116.1,20.91,51,52.6,225.72,99.996,24.32
sh7708,90,91.5,15.84,120,123.4,21.54,55,57.2,326.99,99.9927,24.06
skmb91302,74,76.2,12.34,99,102.2,17.05,43,44.7,206.07,99.9948,18.93
sleb,74,75.5,11.42,93,99.9,16.08,43,45.6,178.76,99.9956,18.26
smdk2410,92,94.8,16.35,122,127.9,22.93,56,58.7,384.11,99.9925,25.25
snds,78,79.8,12.78,101,105.8,17.25,46,48.7,208.14,99.9965,20.8
sparc_erc32,73,74.8,11.33,92,98.3,14.76,41,44.3,178.96,99.9955,18.02
sparc_leon,74,76.7,11.53,95,98.6,14.6,43,44.4,172.44,99.9957,17.53
sparclite_sim,72,74.7,11.34,96,98.8,14.21,44,45.2,153.01,99.9936,17.02
stb,76,77.7,13.45,99,102.7,17.01,44,44.2,225,99.9959,21.03
stdeval1,74,76.7,12.16,101,104.4,15.35,43,44.2,190.73,99.9945,18.99
stm3210e_eval,74,77.6,13.22,98,102.5,17.59,43,43.6,297.39,99.9958,21.59
toybox,15,16,0.5,15,16.3,0.52,13,13.3,3.69,100,0.79
ts1000,77,82,14.86,107,109.5,19.38,47,49,198.71,99.9969,23.7
ts6,79,81.7,13.92,104,107.5,17.3,47,49.1,203.85,99.9963,21.76
tx39_sim,73,75,11.58,95,98.4,14.7,42,44.9,151.08,99.9947,17.76
uClinux,20,20.4,7.34,21,21.9,7.64,13,13,30.46,100,11.61
uClinux-config,64,67.2,875.77,63,65.7,832.9,27,27.7,8053.77,100,2500.65
uE250,78,81.4,14.05,100,106.2,18.14,45,48,237.69,99.9953,21.52
vads,79,81.3,13.78,104,107.1,18.27,47,48.1,232.99,99.9964,22.59
viper,80,82.1,15.39,106,109.2,20.07,47,48.7,298.57,99.9948,23.56
vrc4373,75,76.9,13.29,98,103,17.34,43,43.8,219.69,99.9963,21.24
vrc4375,80,81.8,14.64,105,110.1,18.51,46,48.5,225.12,99.9936,21.79
XSEngine,78,80.4,14.24,103,107.8,18.31,46,48.6,237.12,99.9977,22.69
