Number of test cases,30,,,40,,,50,,,60,,,70,,,80,,,90,,,,,
,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,ToASM,SamplingCA,Random,,,
aaed2000,0.9272519,0.9267232,0.9179782,0.9308524,0.9306005,0.9255733,0.9324827,0.9322532,0.9292623,0.9331638,0.9330912,0.931089,0.9335637,0.9334983,0.93214,0.93379,0.9337414,0.9328466,0.9339118,0.9338781,0.9332778,,,
adder,0.9354703,0.9349464,0.9271174,0.9384315,0.9380959,0.933882,0.9394706,0.9393118,0.9368624,0.9398525,0.9398111,0.9383182,0.9400518,0.9400309,0.9391215,0.940139,0.9401293,0.9395577,0.9401736,0.9401735,0.9398464,,,
adderII,0.9355559,0.935212,0.9273656,0.9386386,0.9383022,0.9340247,0.9396062,0.9394634,0.9370564,0.9399839,0.9399363,0.9384089,0.9401714,0.9401528,0.9392192,0.9402603,0.9402562,0.9397001,0.9402982,0.9402935,0.9399783,,,
aeb,0.9214698,0.9210845,0.9134884,0.9243943,0.9239272,0.9196292,0.9253121,0.9251584,0.9227973,0.9256427,0.9256149,0.9241437,0.9258366,0.9258105,0.9249076,0.9259048,0.9258983,0.9253662,0.9259317,0.9259311,0.9256392,,,
aim711,0.9308749,0.9302858,0.9222933,0.9337705,0.9335274,0.9290396,0.9348748,0.9346836,0.932113,0.9352692,0.9352242,0.9337059,0.935473,0.9354578,0.9345172,0.935568,0.9355545,0.9349757,0.9356034,0.9355988,0.9352697,,,
aki3068net,0.9313457,0.9307219,0.9230544,0.9343219,0.9340292,0.9297295,0.9353629,0.9352735,0.9328044,0.9357902,0.9357397,0.9343174,0.9359907,0.9359826,0.9350984,0.9360815,0.9360768,0.935526,0.9361215,0.936117,0.9358055,,,
am31_sim,0.9247959,0.9243918,0.916914,0.9273525,0.9270202,0.9231792,0.9282278,0.9280721,0.9258746,0.9284929,0.9284687,0.9272754,0.9286405,0.9286298,0.9278763,0.9286952,0.9286901,0.9282723,0.9287161,0.9287135,0.9284828,,,
asb2305,0.9184624,0.9179949,0.9101657,0.9210506,0.9207816,0.9166708,0.9219343,0.9217819,0.9194171,0.9222217,0.9221798,0.9208567,0.9223689,0.9223574,0.9215719,0.9224363,0.9224319,0.921969,0.9224609,0.9224582,0.9221789,,,
asb,0.9245833,0.9241873,0.916375,0.9272488,0.9269399,0.9229169,0.9281772,0.9280234,0.9256836,0.9284604,0.928435,0.9270839,0.928624,0.928601,0.9277979,0.9286824,0.9286767,0.9282141,0.9287027,0.9287021,0.9284342,,,
assabet,0.9133124,0.91292,0.9050001,0.9160506,0.9158066,0.9115173,0.9170023,0.9168526,0.9144279,0.9173273,0.9172886,0.9158498,0.9175023,0.91748,0.9166006,0.9175683,0.9175626,0.9170595,0.917596,0.9175959,0.917293,,,
