,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA
olpcl2294,17,114,17,134,20,180,20,209,23,244,24,269,24,323,27,323
p2106,12,104,13,151,15,171,17,201,16,259,17,273,20,297,21,297
pati,13,115,15,136,15,165,17,220,21,252,20,260,20,282,22,282
pc_i82544,12,107,16,156,18,200,17,210,20,266,22,278,22,346,20,346
pc_i82559,16,111,17,142,20,201,22,247,23,293,23,293,24,352,25,352
pc_rltk8139,17,115,19,176,21,190,22,220,21,264,21,270,24,281,26,281
pc_usb_d12,14,113,11,150,14,189,15,236,18,300,18,316,18,338,20,338
pc_vmWare,16,110,16,136,17,199,17,231,21,274,20,296,21,302,23,302
phycore229x,14,110,17,157,19,181,20,226,19,247,20,262,20,274,21,274
phycore,13,95,12,124,15,170,17,209,19,230,18,237,18,254,21,254
picasso,15,103,17,165,18,187,17,202,21,244,21,279,23,324,23,324
pid,15,89,16,118,17,190,19,204,20,236,19,272,22,283,21,283
prpmc1100,13,91,14,174,16,191,17,232,18,254,20,294,23,324,21,324
psim,12,108,16,143,17,155,17,182,16,186,18,200,20,249,20,249
rattler,15,122,20,162,20,203,21,224,23,240,24,254,24,284,25,284
ref4955,15,108,16,141,16,192,18,218,18,231,23,287,20,310,20,310
refidt334,18,117,19,170,20,213,20,225,23,273,22,303,26,325,25,325
sa1100mm,14,94,16,148,17,171,18,198,18,214,23,244,22,251,22,251
sam7ex256,13,115,16,190,21,199,19,244,19,263,22,301,21,335,23,335
se7751,17,129,18,177,19,252,23,282,24,304,23,358,24,366,27,366
sh4_202_md,16,108,18,172,19,192,24,241,23,269,23,320,23,330,27,330
sh7708,20,153,22,169,25,237,24,260,27,296,24,320,30,349,27,349
skmb91302,15,100,17,168,17,196,20,240,20,259,22,307,21,327,21,327
sleb,15,115,15,164,17,174,16,195,20,232,19,232,17,247,21,247
smdk2410,19,156,26,232,27,270,27,313,29,341,27,347,29,366,29,366
snds,15,92,15,151,18,203,17,216,17,245,20,263,17,300,20,300
